region,tik,invalid,valid,КПРФ,ЗЕЛЕНЫЕ,ЛДПР,НЛ,ЕР,СР,ЯБЛОКО,ПР,РПСС,КР,ГП,ЗА,РОДИНА
город Москва,район Ростокино,186,5955,1955,94,327,356,1658,551,385,69,132,62,12,74,90
город Москва,район Савелки,127,6871,2143,109,476,444,2100,603,283,50,128,96,8,83,137
город Москва,район Свиблово,394,9315,3351,169,579,582,2372,774,477,124,185,118,30,134,148
город Москва,район Северное Бутово,357,13748,4565,260,901,910,4015,1126,551,97,284,244,32,137,200
город Москва,район Северное Измайлово,252,12938,4114,197,938,742,3787,1016,729,72,301,170,26,209,200
город Москва,район Северное Медведково,491,15668,5280,242,1382,886,4253,1317,683,119,285,234,31,186,237
город Москва,район Северное Тушино,495,20852,6638,282,1507,1254,5881,1920,1003,163,409,391,50,227,384
город Москва,район Северный,305,5968,2078,99,469,344,1611,457,231,37,129,107,13,96,78
город Москва,район Силино,197,8663,2581,108,683,497,2871,749,249,45,156,140,23,113,165
город Москва,район Сокол,241,136969,20400,5211,10132,10750,56502,11325,7954,1747,3013,1252,363,3279,1428
город Москва,район Соколиная гора,784,13725,4419,203,999,840,3749,1139,870,109,312,171,28,209,204
город Москва,район Сокольники,465,11948,3433,225,1021,766,3438,894,742,141,278,160,32,225,180
город Москва,район Солнцево,508,16913,4692,220,1224,1826,5333,1329,553,159,345,213,40,209,226
город Москва,район Старое Крюково,131,6135,1832,79,460,334,2169,463,158,32,100,100,15,81,103
город Москва,район Строгино,554,23191,7014,362,1617,1477,7069,1990,1262,144,458,356,33,228,361
город Москва,район Текстильщики,284,15460,4434,202,1133,721,5794,1088,605,119,302,172,17,159,213
город Москва,район Теплый Стан,621,138473,21650,4105,9179,10117,57813,10826,10921,2156,2720,1115,569,2576,1411
город Москва,район Тропарево-Никулино,402,20273,5650,263,1135,2321,5548,1791,1469,247,479,228,41,282,266
город Москва,район Филевский парк,288,12249,4095,211,819,720,3135,994,910,111,274,182,14,166,205
город Москва,район Фили-Давыдково,368,15279,5324,263,978,882,3879,1182,1069,156,356,217,27,213,233
город Москва,район Хамовники,318,17710,4437,300,1096,1235,5069,1185,2490,266,477,164,41,267,223
город Москва,район Ховрино,443,15231,4961,286,960,962,3874,1370,1007,157,355,215,45,205,327
город Москва,район Хорошево-Мневники,501,144458,26188,4553,10016,11945,60405,10109,6184,1670,2579,1467,317,2645,1513
город Москва,район Царицыно,319,16158,4989,233,1205,942,5186,1355,594,88,324,207,40,210,232
город Москва,район Черемушки,330,16287,4473,221,953,1012,5148,1287,1645,154,323,195,40,159,230
город Москва,район Чертаново Северное,586,14319,4733,204,833,914,3956,1364,801,101,324,231,21,138,234
город Москва,район Чертаново Центральное,286,15761,4855,249,990,860,5501,1160,637,79,305,214,39,173,230
город Москва,район Чертаново Южное,485,21523,6711,316,1523,1334,7046,1686,775,132,408,338,56,252,295
город Москва,район Щукино,667,16765,5193,310,1073,1202,4343,1524,1209,162,373,311,29,209,255
город Москва,район Южное Бутово,597,156046,30397,5337,11013,12690,66058,11094,4885,1491,2639,1757,719,2907,1518
город Москва,район Южное Медведково,354,13106,4129,235,1232,846,3679,967,525,116,256,193,32,203,167
город Москва,район Южное Тушино,417,15450,4862,223,1115,982,4342,1438,691,110,337,279,23,172,238
город Москва,район Якиманка,307,5080,1213,73,243,362,1770,316,564,58,143,52,15,62,53
город Москва,район Ясенево,595,26356,8206,473,1606,1593,7956,2458,1408,184,513,397,61,321,379
